2025-05-28 15:19:37,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,古茗(大学城北站店)外卖订单,支出,8.00,余额宝,交易成功,2025052822001117481424332540	,13150600725052843070996144339	,,
2025-05-28 05:56:30,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.27-收益发放,不计收支,0.10,余额宝,交易成功,20250528350847767481	,	,,
2025-05-27 18:45:34,餐饮美食,酱汁豆腐,177******32,收钱码收款,支出,6.00,余额宝,交易成功,2025052722001417481420290910	,47483427340932168617489	,,
2025-05-27 04:05:25,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.26-收益发放,不计收支,0.10,余额宝,交易成功,20250527336753759481	,	,,
2025-05-26 22:31:38,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-26 22:29:53,支出,9.50,余额宝,交易成功,2025052623001417481413768421	,1711202505268097603155102693	,,
2025-05-26 21:06:24,餐饮美食,水果超市,151******79,经营码交易,支出,9.52,余额宝&到店扫码红包,交易成功,2025052622001417481407732681	,17482647838932168617489	,,
2025-05-26 03:29:25,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.25-收益发放,不计收支,0.10,余额宝,交易成功,20250526330288868481	,	,,
2025-05-25 21:41:30,文化休闲,广州库洛数界科技有限公司,ser***@kurogame.com,月相观测卡,支出,30.00,余额宝,交易成功,2025052522001417481407900988	,2251548009282G1521969545861	,,
2025-05-25 20:16:37,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,茶百道(安徽大学金寨路店)外卖订单,支出,9.00,余额宝,交易成功,2025052522001117481407490923	,13200600725052552034323144339	,,
2025-05-25 19:35:44,交通出行,合肥市轨道交通集团有限公司运营分公司,hfg***@hfgdjt.com,合肥地铁(合肥南2025-05-25 19:00:38--大学城北2025-05-25 19:35:44),支出,3.00,余额宝,交易成功,2025052522001417481407842819	,010001110603250525190038878293	,,
2025-05-25 15:58:09,餐饮美食,麻顶天麻辣烫（师范学院店）,/,美团收银909700200594122744,支出,21.62,余额宝&到店扫码红包,交易成功,2025052522001417481401244610	,4420180330024764010461368605825360704704251	,,
2025-05-25 13:26:59,交通出行,铁路12306,chi***@alipay.com,火车票,支出,49.50,余额宝,交易成功,2025052522001417481407410629	,M2025052532421175	,,
2025-05-25 08:48:42,退款,田家庵区优乐宾馆酒店,/,退款-田家庵区优乐宾馆酒店,不计收支,200.00,余额宝,退款成功,2025052422001417481401271671_90201803210242352320250525084841020128490355Y	,902018032102423523020120250524161031000108292Y	,,
2025-05-25 06:45:06,餐饮美食,美团,zxp***@meituan.com,美团订单-25052511100300001309169166532039,支出,10.39,余额宝,交易成功,2025052522001417481458150039	,20250525064457U90781464986693080	,,
2025-05-25 02:57:33,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.24-收益发放,不计收支,0.10,余额宝,交易成功,20250525323883051481	,	,,
2025-05-24 21:30:52,日用百货,安徽全士客超市,/,安徽全士客超市,支出,23.14,余额宝,交易成功,2025052422001417481459047013	,8512660000489000000001786233925144	,,
2025-05-24 21:13:15,生活服务,美团,it_***@meituan.com,吞口熊の牛排手作意面(淮南店)-美团App-25052411100300001309134247808039,支出,25.60,余额宝,交易成功,2025052422001417481458128280	,20250524211307U51970610136013909	,,
2025-05-24 16:10:31,酒店旅游,田家庵区优乐宾馆酒店,/,田家庵区优乐宾馆酒店,支出,200.00,余额宝,交易关闭,2025052422001417481401271671	,902018032102423523020120250524161031000108292Y	,,
2025-05-24 14:13:24,日用百货,小南爷重庆泡椒米线,139******86,经营码交易,支出,9.82,余额宝&到店扫码红包,交易成功,2025052422001417481459311895	,17480672030932168617489	,,
2025-05-24 13:40:26,退款,美团,zxp***@meituan.com,退款-威曼宾馆（淮南师范学院泉山校区店）-美团App-25052011100300001308473279210039,不计收支,109.00,余额宝,退款成功,2025052022001417481428189104_20250524134025R11743154382123782	,20250520183041U47730708603653782	,,
2025-05-24 13:39:16,酒店旅游,百度平台商家,bds***@baidu.com,商务双床房(无电脑),支出,154.19,余额宝&支付宝立减,交易成功,2025052422001417481457492983	,2505242770967119	,,
2025-05-24 12:48:45,交通出行,淮南公交,hng***@hngjgs.cn,公交-000060-20250524124844,支出,5.00,余额宝,交易成功,2025052422001417481451419826	,202505241926138273534271490	,,
2025-05-24 10:19:33,日用百货,校园超市,zha***@163.com,HF南苑超市（审计店）,支出,17.00,余额宝,交易成功,2025052422001417481452627690	,20250524101745290115515	,,
2025-05-24 06:06:17,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.23-收益发放,不计收支,0.11,余额宝,交易成功,20250524319200607481	,	,,
2025-05-23 23:23:39,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-23 23:23:19,支出,7.80,余额宝,交易成功,2025052322001417481452618858	,1711202505238418901155102692	,,
2025-05-23 16:58:21,餐饮美食,饿了么,e50***@alibaba-inc.com,茶百道(安徽大学金寨路店)外卖订单,支出,11.00,余额宝,交易成功,2025052322001117481449452097	,13160600725052358036165144339	,,
2025-05-23 11:26:33,账户存取,中国银行,/,提现-实时提现,不计收支,100.00,余额,交易成功,20250523200040011100480098331948	,a9de59e98ec91e697f5ca87f0ea8dbcd	,,
2025-05-23 11:26:15,投资理财,曾振杰,zha***@gsfunds.com.cn,余额宝-转出到余额,不计收支,100.00,余额,交易成功,20250523019130200010480029230053	,LC2025052311261520889321686174892688	,,
2025-05-23 04:11:29,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.22-收益发放,不计收支,0.11,余额宝,交易成功,20250523312321441481	,	,,
2025-05-22 21:04:37,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-22 21:04:09,支出,4.50,余额宝,交易成功,2025052222001417481438905979	,1711202505227582500355102692	,,
2025-05-22 16:03:31,餐饮美食,糖水铺子,/,销售商品,支出,5.00,余额宝,交易成功,2025052222001417481442191893	,43126600004823000003212505225781086410155	,,
2025-05-22 04:42:37,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.21-收益发放,不计收支,0.11,余额宝,交易成功,20250522306113395481	,	,,
2025-05-21 20:07:25,充值缴费,中国电信,zhi***@chinatelecom-ec.com.cn,为189****3035充值30.0元，谨防诈骗,支出,29.93,余额宝&支付宝随机立减,交易成功,2025052122001417481441560224	,ZY2505212007170026450697	,,
2025-05-21 12:28:42,日用百货,校园超市,zha***@163.com,HF南苑超市（审计店）,支出,6.00,余额宝,交易成功,2025052122001417481432215351	,20250521122659475109341	,,
2025-05-21 03:34:28,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.20-收益发放,不计收支,0.12,余额宝,交易成功,20250521398590597481	,	,,
2025-05-20 22:55:22,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-20 22:53:40,支出,3.50,余额宝,交易成功,2025052022001417481436444641	,1711202505208240600055102693	,,
2025-05-20 18:30:49,餐饮美食,美团,zxp***@meituan.com,威曼宾馆（淮南师范学院泉山校区店）-美团App-25052011100300001308473279210039,支出,109.00,余额宝,交易关闭,2025052022001417481428189104	,20250520183041U47730708603653782	,,
2025-05-20 16:18:25,交通出行,铁路12306,chi***@alipay.com,火车票,支出,49.50,余额宝,交易成功,2025052022001417481428142612	,M2025052091711944	,,
2025-05-20 11:19:02,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-20 11:17:59,支出,6.00,余额宝,交易成功,2025052022001417481423828416	,1711202505204066500055102588	,,
2025-05-20 06:03:34,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.19-收益发放,不计收支,0.12,余额宝,交易成功,20250520393920995481	,	,,
2025-05-19 23:52:36,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-19 23:51:37,支出,5.00,余额宝,交易成功,2025051922001417481422143310	,1711202505198588401055102693	,,
2025-05-19 16:00:08,教育培训,工大教育超市翡翠路一店,/,条码支付-总部-M24033460003202505190424637,支出,16.90,余额宝,交易成功,2025051922001417481416575487	,13126600004836000083620250519751092347	,,
2025-05-19 15:56:01,餐饮美食,luckincoffee,zhi***@lkcoffee.com,订单付款,支出,9.90,余额宝,交易成功,2025051922001417481419359331	,10117282226424469504	,,
2025-05-19 03:09:31,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.18-收益发放,不计收支,0.12,余额宝,交易成功,20250519384310397481	,	,,
2025-05-18 19:42:59,餐饮美食,饿了么,e50***@alibaba-inc.com,郑恩强黏糊糊麻辣烫·麻辣拌·炸串(港澳广场店)外卖订单,支出,20.35,余额宝,交易成功,2025051822001117481410965586	,13190600725051867232411144339	,,
2025-05-18 19:10:31,数码电器,智想**店,131***@163.com,【活动价】适用高驰pace3表带硅胶网洞apex2pro运动pace2男女生2Pro腕带VERTIX2智能手表cor,支出,29.80,余额宝,支付成功,20250518300000007717481202159689	,T200P4329914079433343201	,,
2025-05-18 03:45:34,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.17-收益发放,不计收支,0.12,余额宝,交易成功,20250518378441095481	,	,,
2025-05-17 16:17:22,教育培训,工大教育超市翡翠路一店,/,条码支付-总部-M24033460003202505170413365,支出,6.00,余额宝,交易成功,2025051722001417481407243437	,72126600004836000083620250517300087139	,,
2025-05-17 03:30:22,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.16-收益发放,不计收支,0.12,余额宝,交易成功,20250517372054516481	,	,,
2025-05-16 22:20:59,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-16 22:20:28,支出,6.00,余额宝,交易成功,2025051622001417481456300818	,1711202505168040003055102692	,,
2025-05-16 19:23:26,生活服务,美团,it_***@meituan.com,荷七公荷叶烤鸡（天时店）-美团App-25051611100300001307735842857039,支出,20.99,余额宝,交易成功,2025051622001417481403625473	,20250516192318U84614448661403739	,,
2025-05-16 10:19:12,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-16 10:18:46,支出,3.50,余额宝,交易成功,2025051622001417481459043935	,1711202505163711803055102565	,,
2025-05-16 04:12:13,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.15-收益发放,不计收支,0.12,余额宝,交易成功,20250516360964863481	,	,,
2025-05-15 12:16:35,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-15 12:14:41,支出,7.98,余额宝,交易成功,2025051522001417481450925752	,1711202505154406709155102693	,,
2025-05-15 10:19:55,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-15 10:19:05,支出,4.00,余额宝,交易成功,2025051522001417481453353181	,1711202505153713001155102569	,,
2025-05-15 03:10:17,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.14-收益发放,不计收支,0.12,余额宝,交易成功,20250515354679723481	,	,,
2025-05-14 22:50:29,日用百货,校园超市,zha***@163.com,HF南苑超市（合工大店）,支出,5.82,余额宝&红包,交易成功,2025051422001417481449048409	,20250514225010172123107	,,
2025-05-14 03:12:48,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.13-收益发放,不计收支,0.12,余额宝,交易成功,20250514353065680481	,	,,
2025-05-13 22:34:11,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-13 22:33:50,支出,6.59,余额宝,交易成功,2025051322001417481446904717	,1711202505138122100155102693	,,
2025-05-13 15:55:19,餐饮美食,饿了么,e50***@alibaba-inc.com,茶百道(安徽大学金寨路店)外卖订单,支出,12.00,余额宝,交易成功,2025051322001117481441118382	,13150600725051357299786144339	,,
2025-05-13 12:27:06,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-13 12:21:32,支出,5.91,余额宝&红包,交易成功,2025051322001417481437909530	,1711202505134447810355102693	,,
2025-05-13 03:17:26,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.12-收益发放,不计收支,0.12,余额宝,交易成功,20250513346962491481	,	,,
2025-05-12 22:42:27,日用百货,校园超市,zha***@163.com,HF南苑超市（合工大店）,支出,8.00,余额宝,交易成功,2025051222001417481437422125	,20250512224211447117202	,,
2025-05-12 14:14:27,文化休闲,广州库洛数界科技有限公司,ser***@kurogame.com,寰宇频道,支出,68.00,余额宝,交易成功,2025051222001417481431195754	,3591548009282G1522597538862	,,
2025-05-12 12:45:26,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-12 12:44:24,支出,6.00,余额宝,交易成功,2025051222001417481431813907	,1711202505124584805355102692	,,
2025-05-12 12:44:17,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-12 12:43:50,支出,5.00,余额宝,交易成功,2025051222001417481431151547	,1711202505124581900055102693	,,
2025-05-12 03:32:25,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.11-收益发放,不计收支,0.13,余额宝,交易成功,20250512340897514481	,	,,
2025-05-11 22:46:36,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-11 20:49:18,支出,7.00,余额宝,交易成功,2025051122001417481427447911	,1711202505117494700355102692	,,
2025-05-11 19:38:05,餐饮美食,饿了么,e50***@alibaba-inc.com,排骨焖面是招牌外卖订单,支出,17.10,余额宝,交易成功,2025051122001117481428186861	,13190600725051111050176144339	,,
2025-05-11 15:01:45,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-11 14:21:12,支出,6.00,余额宝,交易成功,2025051122001417481426913953	,1711202505115166201355102692	,,
2025-05-11 03:43:18,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.10-收益发放,不计收支,0.13,余额宝,交易成功,20250511334669481481	,	,,
2025-05-10 16:41:50,餐饮美食,luckincoffee,zhi***@lkcoffee.com,订单付款,支出,9.90,余额宝,交易成功,2025051022001417481421802161	,10117230227054085121	,,
2025-05-10 03:29:33,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.09-收益发放,不计收支,0.13,余额宝,交易成功,20250510323222988481	,	,,
2025-05-09 14:07:39,文化休闲,tb**1,153******72,库洛解绑鸣潮解绑释放换绑战双释放已绑定手机号绑定新账号,支出,0.12,余额宝,交易成功,2025050922001117481410986017	,T200P4330859905243343201	,,
2025-05-09 13:43:39,文化休闲,目蚁**店,hud***@foxmail.com,【买/卖】鸣潮最新初始成品号组合自抽手工收活绑可换绑号,支出,29.88,余额宝,交易成功,2025050922001117481413796357	,T200P4331144199470343201	,,
2025-05-09 03:49:17,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.08-收益发放,不计收支,0.13,余额宝,交易成功,20250509322015904481	,	,,
2025-05-08 21:13:27,餐饮美食,饿了么,e50***@alibaba-inc.com,古茗(大学城北站店)外卖订单,支出,10.10,余额宝,交易成功,2025050822001117481411464116	,13210600725050800170082144339	,,
2025-05-08 16:05:11,教育培训,工大教育超市翡翠路一店,/,条码支付-总部-M24033460002202505080504412,支出,17.00,余额宝,交易成功,2025050822001417481410812367	,15126600004836000083620250508778994747	,,
2025-05-08 14:14:33,数码电器,智想**店,131***@163.com,【活动价】适用高驰pace3表带硅胶网洞apex2pro运动pace2男女生2Pro腕带VERTIX2智能手表cor,支出,0.00,,支付成功,2025050822001117481408915983	,T200P4329914079433343201	,,
2025-05-08 13:57:25,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-08 13:56:50,支出,4.50,余额宝,交易成功,2025050822001417481406753359	,1711202505085020201355102565	,,
2025-05-08 03:42:14,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.07-收益发放,不计收支,0.13,余额宝,交易成功,20250508315478625481	,	,,
2025-05-07 12:58:04,餐饮美食,luckincoffee,zhi***@lkcoffee.com,订单付款,支出,9.90,余额宝,交易成功,2025050722001417481458271545	,10117211931432933376	,,
2025-05-07 04:40:47,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.06-收益发放,不计收支,0.07,余额宝,交易成功,20250507309533730481	,	,,
2025-05-06 16:01:52,教育培训,工大教育超市翡翠路一店,/,条码支付-总部-M24033460003202505060443268,支出,12.00,余额宝,交易成功,2025050622001417481453282888	,17126600004836000083620250506975713152	,,
2025-05-06 11:19:55,餐饮美食,饿了么,e50***@alibaba-inc.com,冒大仙成都火锅冒菜·麻辣烫(港澳广场店)外卖订单,支出,12.78,余额宝,交易成功,2025050622001117481453606771	,13110600725050646394414144339	,,
2025-05-06 10:18:18,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-06 10:17:54,支出,3.30,余额宝,交易成功,2025050622001417481452040687	,1711202505063706302355102565	,,
2025-05-06 02:55:42,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.05-收益发放,不计收支,0.07,余额宝,交易成功,20250506397149035481	,	,,
2025-05-05 13:46:41,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-05 13:32:42,支出,4.50,余额宝,交易成功,2025050522001417481446123683	,1711202505054874803055102692	,,
2025-05-05 02:28:26,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.04-收益发放,不计收支,0.07,余额宝,交易成功,20250505391653426481	,	,,
2025-05-04 13:02:48,文化休闲,福州踩蘑菇网络科技有限公司,lia***@sohu.com,踩蘑菇金蘑菇充值,支出,1.00,余额宝,交易成功,2025050422001417481440262515	,CZ2025050413023511657284	,,
2025-05-04 12:35:44,生活服务,美团,it_***@meituan.com,茶百道（合肥大学城店）-美团App-25050411100300001305404188788039,支出,15.00,余额宝,交易成功,2025050422001417481440275812	,20250504123534U72004357366733979	,,
2025-05-04 05:42:12,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.03-收益发放,不计收支,0.07,余额宝,交易成功,20250504391901352481	,	,,
2025-05-03 20:30:57,生活服务,美团,it_***@meituan.com,牛约堡-手作牛肉汉堡（翡翠湖店）-美团App-25050311100300001305313205700039,支出,16.40,余额宝,交易成功,2025050322001417481436865370	,20250503203049U44145956700343914	,,
2025-05-03 14:08:42,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-03 14:07:04,支出,5.50,余额宝,交易成功,2025050323001417481435526353	,1711202505035081300155102693	,,
2025-05-03 04:39:15,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.02-收益发放,不计收支,0.07,余额宝,交易成功,20250503384984136481	,	,,
2025-05-02 19:36:36,餐饮美食,鸡蛋灌饼,136******68,经营码交易,支出,9.00,余额宝,交易成功,2025050222001417481431533170	,17461857974932168617489	,,
2025-05-02 03:33:13,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.05.01-收益发放,不计收支,0.07,余额宝,交易成功,20250502378346170481	,	,,
2025-05-02 01:20:23,投资理财,余额宝,zha***@gsfunds.com.cn,余额宝-自动转入,不计收支,2075.00,账户余额,交易成功,20250502019130101000480097372159	,20250502009130501000480095399243	,,
2025-05-02 00:58:07,账户存取,中国银行,/,提现-实时提现,支出,325.00,余额,交易成功,20250502200040011100480087155603	,1e8d10b0cab77ae5feccccb636360fec	,,
2025-05-01 16:19:48,账户存取,**杰,226***@qq.com,充值-普通充值,不计收支,2400.00,账户余额,交易成功,20250501200040011100480086900345	,	,,
2025-05-01 09:10:55,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-01 06:28:01,支出,10.59,余额宝,交易成功,2025050122001417481414475181	,1711202505012326601155102692	,,
2025-05-01 09:02:53,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-05-01 06:28:21,支出,5.00,余额宝,交易成功,2025050122001417481419113446	,1711202505012329000355102693	,,
2025-05-01 06:07:27,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.04.30-收益发放,不计收支,0.07,余额宝,交易成功,20250501372973413481	,	,,
2025-04-30 20:16:56,生活服务,美团,it_***@meituan.com,萨克滋.手作方形底特律披萨店（港澳店）-美团App-25043011100300001304662172355039,支出,28.28,余额宝,交易成功,2025043022001417481422259054	,20250430201649U37270915728233687	,,
2025-04-30 13:28:30,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-04-30 13:17:47,支出,4.50,余额宝,交易成功,2025043022001417481418211563	,1711202504304785503355102692	,,
2025-04-30 03:25:27,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.04.29-收益发放,不计收支,0.07,余额宝,交易成功,20250430365148544481	,	,,
2025-04-29 22:08:55,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-04-29 21:25:44,支出,6.00,余额宝,交易成功,2025042923001417481416988360	,1711202504297712902155102692	,,
2025-04-29 19:17:40,生活服务,美团,it_***@meituan.com,荷七公荷叶烤鸡（天时店）-美团App-25042911100300001304464956371039,支出,22.99,余额宝,交易成功,2025042922001417481416876867	,20250429191731U64139547197863852	,,
2025-04-29 11:50:16,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-04-29 10:14:41,支出,4.50,余额宝,交易成功,2025042922001417481403539669	,1711202504293686600055102692	,,
2025-04-29 03:47:11,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.04.28-收益发放,不计收支,0.07,余额宝,交易成功,20250429358874864481	,	,,
2025-04-28 03:47:24,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.04.27-收益发放,不计收支,0.04,余额宝,交易成功,20250428352357707481	,	,,
2025-04-27 21:50:42,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-04-27 21:45:22,支出,5.50,余额宝,交易成功,2025042722001417481403539150	,1711202504277830400355102692	,,
2025-04-27 12:23:12,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-04-27 12:17:06,支出,3.50,余额宝,交易成功,2025042722001417481459668520	,1711202504274421502155102693	,,
2025-04-27 06:02:36,投资理财,国寿安保基金管理有限责任公司,/,余额宝-2025.04.26-收益发放,不计收支,0.04,余额宝,交易成功,20250427346974033481	,	,,
2025-04-27 02:17:54,文化休闲,tb**9,183******90,鸣潮解绑释放战双帕弥什解绑换绑改绑库洛科技释放手机号,支出,0.12,余额宝,交易成功,2025042722001117481453259444	,T200P4316642715883343201	,,
2025-04-26 21:45:28,餐饮美食,友宝,ton***@ubox.cn,智能货柜消费_消费时间 :2025-04-26 20:42:39,支出,5.50,余额宝,交易成功,2025042622001417481454074654	,1711202504267454802155102692	,,
2025-04-26 19:25:58,生活服务,美团,it_***@meituan.com,魔鬼筋肉人.烤肉卷饼（大学城店）-美团App-25042611100300001303948581410039,支出,25.88,余额宝,交易成功,2025042622001417481453226592	,20250426192549U13363824231903832	,,
